id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
35445834,绝望写手 第一季,,https://dou.img.lithub.cc/movie/35445834.jpg,2021-05-13(美国),https://movie.douban.com/subject/35445834/,8.7,喜剧,4,,,2026-01-25 12:38:50,2021 / 美国 / 喜剧 / 露西亚·安尼洛 戴思睿·阿卡万 保罗·当斯 / 珍·斯玛特 汉娜·爱宾德
35173642,灵魂伴侣 第一季,,https://dou.img.lithub.cc/movie/35173642.jpg,2020-10-05(美国),https://movie.douban.com/subject/35173642/,7.1,"剧情,爱情,科幻",3,,,2026-01-22 09:00:57,2020 / 美国 / 剧情 爱情 科幻 / 马可·克罗伊茨派因特纳 罗布·萨维奇 安德丽亚·哈金 / 莎拉·斯努克 金斯利·本-阿迪尔
35235151,唐朝诡事录,,https://dou.img.lithub.cc/movie/35235151.jpg,2022-09-27(中国大陆),https://movie.douban.com/subject/35235151/,8,"悬疑,奇幻,武侠",1,,,2026-01-20 01:49:49,2022 / 中国大陆 / 悬疑 奇幻 武侠 古装 / 柏杉 / 杨旭文 杨志刚
26351864,风林火山,,https://dou.img.lithub.cc/movie/26351864.jpg,2025-10-01(中国大陆/中国香港),https://movie.douban.com/subject/26351864/,6.4,"剧情,犯罪",2,,,2026-01-17 12:10:13,2025 / 中国香港 中国大陆 / 剧情 犯罪 / 麦浚龙 / 金城武 刘青云
35618471,哈姆奈特,,https://dou.img.lithub.cc/movie/35618471.jpg,2025-08-29(特柳赖德电影节),https://movie.douban.com/subject/35618471/,8.1,"剧情,爱情,历史",4,,,2026-01-16 06:36:43,2025 / 英国 / 剧情 爱情 历史 / 赵婷 / 杰西·巴克利 保罗·麦斯卡
36857148,坟场回路 第一季,,https://dou.img.lithub.cc/movie/36857148.jpg,2025-10-29(英国),https://movie.douban.com/subject/36857148/,7,惊悚,2,,,2026-01-15 01:36:43,2025 / 英国 / 惊悚 / 塞缪尔·多诺万 伯克·西格罗斯松 娜塔莉·贝利 / 艾玛·汤普森 露丝·威尔森
35512487,我仍在此,,https://dou.img.lithub.cc/movie/35512487.jpg,2025-05-16(中国大陆),https://movie.douban.com/subject/35512487/,7.8,"剧情,传记,历史",,,,2026-01-06 10:03:42,2024 / 巴西 法国 / 剧情 传记 历史 / 沃尔特·塞勒斯 / 费尔南达·托雷斯 费尔南达·蒙特内格罗
35419153,利刃出鞘3,,https://dou.img.lithub.cc/movie/35419153.jpg,2025-09-06(多伦多电影节),https://movie.douban.com/subject/35419153/,7.6,"剧情,喜剧,悬疑",,,,2026-01-05 01:10:01,2025 / 美国 / 剧情 喜剧 悬疑 惊悚 犯罪 / 莱恩·约翰逊 / 丹尼尔·克雷格 乔什·奥康纳
36247731,新·驯龙高手,,https://dou.img.lithub.cc/movie/36247731.jpg,2025-06-13(美国/中国大陆),https://movie.douban.com/subject/36247731/,8.3,"剧情,喜剧,动作",,,,2026-01-04 23:56:05,2025 / 美国 / 剧情 喜剧 动作 奇幻 冒险 / 迪恩·戴布洛伊 / 梅森·泰晤士 妮可·帕克
30433456,碟中谍8：最终清算,,https://dou.img.lithub.cc/movie/30433456.jpg,2025-05-30(中国大陆),https://movie.douban.com/subject/30433456/,7.6,"动作,惊悚,冒险",,,,2026-01-04 11:46:31,2025 / 美国 / 动作 惊悚 冒险 / 克里斯托弗·麦奎里 / 汤姆·克鲁斯 海莉·阿特维尔
